date,Value,isPartial,Region,topic
2019-01-27,38,False,Nordjylland,News
2019-02-03,40,False,Nordjylland,News
2019-02-10,43,False,Nordjylland,News
2019-02-17,37,False,Nordjylland,News
2019-02-24,42,False,Nordjylland,News
2019-03-03,40,False,Nordjylland,News
2019-03-10,47,False,Nordjylland,News
2019-03-17,50,False,Nordjylland,News
2019-03-24,41,False,Nordjylland,News
2019-03-31,44,False,Nordjylland,News
2019-04-07,42,False,Nordjylland,News
2019-04-14,43,False,Nordjylland,News
2019-04-21,56,False,Nordjylland,News
2019-04-28,48,False,Nordjylland,News
2019-05-05,42,False,Nordjylland,News
2019-05-12,42,False,Nordjylland,News
2019-05-19,43,False,Nordjylland,News
2019-05-26,42,False,Nordjylland,News
2019-06-02,45,False,Nordjylland,News
2019-06-09,42,False,Nordjylland,News
2019-06-16,48,False,Nordjylland,News
2019-06-23,52,False,Nordjylland,News
2019-06-30,37,False,Nordjylland,News
2019-07-07,41,False,Nordjylland,News
2019-07-14,45,False,Nordjylland,News
2019-07-21,47,False,Nordjylland,News
2019-07-28,44,False,Nordjylland,News
2019-08-04,41,False,Nordjylland,News
2019-08-11,38,False,Nordjylland,News
2019-08-18,35,False,Nordjylland,News
2019-08-25,50,False,Nordjylland,News
2019-09-01,49,False,Nordjylland,News
2019-09-08,37,False,Nordjylland,News
2019-09-15,40,False,Nordjylland,News
2019-09-22,36,False,Nordjylland,News
2019-09-29,43,False,Nordjylland,News
2019-10-06,36,False,Nordjylland,News
2019-10-13,36,False,Nordjylland,News
2019-10-20,39,False,Nordjylland,News
2019-10-27,36,False,Nordjylland,News
2019-11-03,34,False,Nordjylland,News
2019-11-10,34,False,Nordjylland,News
2019-11-17,44,False,Nordjylland,News
2019-11-24,35,False,Nordjylland,News
2019-12-01,34,False,Nordjylland,News
2019-12-08,43,False,Nordjylland,News
2019-12-15,36,False,Nordjylland,News
2019-12-22,42,False,Nordjylland,News
2019-12-29,39,False,Nordjylland,News
2020-01-05,42,False,Nordjylland,News
2020-01-12,40,False,Nordjylland,News
2020-01-19,46,False,Nordjylland,News
2020-01-26,45,False,Nordjylland,News
2020-02-02,42,False,Nordjylland,News
2020-02-09,39,False,Nordjylland,News
2020-02-16,45,False,Nordjylland,News
2020-02-23,46,False,Nordjylland,News
2020-03-01,58,False,Nordjylland,News
2020-03-08,86,False,Nordjylland,News
2020-03-15,79,False,Nordjylland,News
2020-03-22,70,False,Nordjylland,News
2020-03-29,75,False,Nordjylland,News
2020-04-05,68,False,Nordjylland,News
2020-04-12,58,False,Nordjylland,News
2020-04-19,56,False,Nordjylland,News
2020-04-26,50,False,Nordjylland,News
2020-05-03,56,False,Nordjylland,News
2020-05-10,43,False,Nordjylland,News
2020-05-17,47,False,Nordjylland,News
2020-05-24,45,False,Nordjylland,News
2020-05-31,39,False,Nordjylland,News
2020-06-07,47,False,Nordjylland,News
2020-06-14,52,False,Nordjylland,News
2020-06-21,54,False,Nordjylland,News
2020-06-28,52,False,Nordjylland,News
2020-07-05,57,False,Nordjylland,News
2020-07-12,48,False,Nordjylland,News
2020-07-19,44,False,Nordjylland,News
2020-07-26,52,False,Nordjylland,News
2020-08-02,49,False,Nordjylland,News
2020-08-09,53,False,Nordjylland,News
2020-08-16,47,False,Nordjylland,News
2020-08-23,44,False,Nordjylland,News
2020-08-30,51,False,Nordjylland,News
2020-09-06,45,False,Nordjylland,News
2020-09-13,44,False,Nordjylland,News
2020-09-20,53,False,Nordjylland,News
2020-09-27,50,False,Nordjylland,News
2020-10-04,63,False,Nordjylland,News
2020-10-11,50,False,Nordjylland,News
2020-10-18,59,False,Nordjylland,News
