,index,City,year,Region,slope,intercept,R2,R2_adj,mean,trending
75,75,Beder,2017,Midtjylland,0.0,0.0,,,0.0,0
76,76,Beder,2018,Midtjylland,0.0,0.0,,,0.0,0
77,77,Beder,2019,Midtjylland,0.0,0.0,,,0.0,0
78,78,Beder,2020,Midtjylland,0.0,0.0,,,0.0,0
79,79,Beder,2021,Midtjylland,0.0,0.0,,,0.0,0
80,80,Billund,2017,Syddanmark,-0.11291887219328943,12.436821266968327,0.24758906308518414,0.23254084434688782,9.444471153846154,0
81,81,Billund,2018,Syddanmark,0.10662565098608377,7.877545248868781,0.1538194597571383,0.13689584895228102,10.703125,0
82,82,Billund,2019,Syddanmark,-0.04734861420488465,12.778383381324556,0.05285369264442541,0.03391076649731395,11.523645104895108,0
83,83,Billund,2020,Syddanmark,0.3903435285580128,6.119117647058824,0.606490996194113,0.5986208161179952,16.463221153846156,1
84,84,Billund,2021,Syddanmark,0.4979530322767401,17.313657653664297,0.5777703609592023,0.5685914557626632,29.513506944444444,1
85,85,Bindslev,2017,Nordjylland,0.0,0.0,,,0.0,0
86,86,Bindslev,2018,Nordjylland,0.0,0.0,,,0.0,0
87,87,Bindslev,2019,Nordjylland,0.0,0.0,,,0.0,0
88,88,Bindslev,2020,Nordjylland,0.0,0.0,,,0.0,0
89,89,Bindslev,2021,Nordjylland,0.0,0.0,,,0.0,0
90,90,Birkerød,2017,Hovedstaden,-0.013088555451207916,8.697567873303168,0.012716268948840814,-0.007029405672182465,8.350721153846154,0
91,91,Birkerød,2018,Hovedstaden,0.17734248271151704,7.829270361990954,0.35348964148182993,0.3405594343114665,12.528846153846152,0
92,92,Birkerød,2019,Hovedstaden,-0.024461602492956404,16.05904977375566,0.02347678338953829,0.003946319057329006,15.410817307692307,0
93,93,Birkerød,2020,Hovedstaden,0.3465065525484507,13.508201357466058,0.8240714761846605,0.8205529057083537,22.690625000000004,1
94,94,Birkerød,2021,Hovedstaden,0.42523782385294495,18.995666371158386,0.6056333284039335,0.5970601398909754,29.413993055555554,1
95,95,Bjerringbro,2017,Midtjylland,-0.001428967813540483,6.525367647058824,0.00010500989391826199,-0.01989288990820337,6.487500000000001,0
96,96,Bjerringbro,2018,Midtjylland,0.3496657559976092,-1.181980446024556,0.6449716206106844,0.637871053022898,8.084162087912084,1
97,97,Bjerringbro,2019,Midtjylland,-0.0002528109145752454,13.499033890945654,1.1069578360611843e-06,-0.019998870903007226,13.492334401709403,0
98,98,Bjerringbro,2020,Midtjylland,0.10210395805637229,14.601082336780863,0.16109012439017956,0.1443119268779831,17.306837225274723,0
99,99,Bjerringbro,2021,Midtjylland,0.30389917137067557,12.65433141252954,0.8008204379156787,0.7964904474355847,20.09986111111111,1
100,100,Bjert,2017,Syddanmark,0.0,0.0,,,0.0,0
101,101,Bjert,2018,Syddanmark,0.0,0.0,,,0.0,0
102,102,Bjert,2019,Syddanmark,0.0,0.0,,,0.0,0
103,103,Bjert,2020,Syddanmark,0.0,0.0,,,0.0,0
104,104,Bjert,2021,Syddanmark,0.0,0.0,,,0.0,0
105,105,Bjæverskov,2017,Sjælland,-0.07853070209479761,9.913821472645006,0.19845451053633079,0.18242360074705744,7.832757867132866,0
106,106,Bjæverskov,2018,Sjælland,0.2111302612481857,5.092307692307694,0.405192073018803,0.393295914479179,10.687259615384615,1
107,107,Bjæverskov,2019,Sjælland,-0.003479040382481237,17.59555995475114,0.00015097513652007066,-0.019846005360749652,17.503365384615382,0
108,108,Bjæverskov,2020,Sjælland,0.42723837236878354,12.645651080945196,0.7735206087934537,0.7689910209693228,23.96746794871795,1
109,109,Bjæverskov,2021,Sjælland,0.22774221124620003,28.493388741134744,0.2423642437026755,0.22589390117447272,34.07307291666667,0
110,110,Blokhus,2017,Nordjylland,0.12602533426617762,0.5982157548334054,0.2728957465945723,0.25835366152646366,3.937887112887111,0
111,111,Blokhus,2018,Nordjylland,0.14105120373676164,2.8409097336487035,0.3114043437146995,0.29763243058899347,6.578766632672882,0
112,112,Blokhus,2019,Nordjylland,-0.056877088643875306,10.330302601809954,0.05847692600606125,0.03964646452618248,8.823059752747254,0
113,113,Blokhus,2020,Nordjylland,0.1443386801877368,8.324837662337666,0.36733059413272573,0.3546772060153802,12.149812687312686,0
114,114,Blokhus,2021,Nordjylland,0.3978749444306596,9.614938365417082,0.6701632938091263,0.6629929306310638,19.362874503968253,1
115,115,Blommenslyst,2017,Syddanmark,,,,,,0
116,116,Blommenslyst,2018,Syddanmark,,,,,,0
117,117,Blommenslyst,2019,Syddanmark,,,,,,0
118,118,Blommenslyst,2020,Syddanmark,,,,,,0
