,municipality,up_until_year,count_of_stations,plugs,closest_in_meters,closest_in_meters_std
272,Sønderborg,2016,12,44,1097.25,1466.7226375339494
273,Thisted,2016,30,48,2851.0333333333333,2573.6631545976124
274,Tårnby,2016,7,32,489.42857142857144,395.897653922011
275,Tønder,2016,3,6,1622.3333333333333,1938.4636528274998
276,Varde,2016,3,11,8215.333333333334,2792.161408896938
277,Vejen,2016,1,2,,
278,Vejle,2016,17,55,2836.823529411765,2710.5018731614564
279,Vesthimmerlands,2016,2,7,608.5,686.6006845321376
280,Viborg,2016,5,19,3531.2,4728.491641105015
281,Vordingborg,2016,6,16,1728.0,2009.3076419503311
282,Aabenraa,2017,10,58,2050.6,4422.586050918374
283,Aalborg,2017,24,83,1729.0416666666667,4570.264786156236
284,Aarhus,2017,39,184,1119.5384615384614,1325.8905219185183
285,Albertslund,2017,1,4,,
286,Allerød,2017,1,4,,
287,Assens,2017,4,17,2629.25,1328.9237186535577
288,Ballerup,2017,6,22,858.1666666666666,1039.9298854570277
289,Billund,2017,5,16,719.4,388.9303279509069
290,Bornholm,2017,9,24,494.22222222222223,377.62176108434807
291,Brøndby,2017,1,4,,
292,Brønderslev,2017,5,22,4441.0,2988.790558068598
293,Dragør,2017,3,16,767.6666666666666,217.08600446213322
294,Esbjerg,2017,13,39,10946.76923076923,31442.83074924459
295,Faaborg-Midtfyn,2017,2,8,4174.5,5585.436464592539
296,Favrskov,2017,1,1,,
297,Faxe,2017,2,4,7756.0,837.2144289248723
298,Fredensborg,2017,2,7,1920.5,839.3357492684319
299,Fredericia,2017,7,22,1200.7142857142858,895.013913166664
300,Frederiksberg,2017,25,122,319.12,271.3431591177489
301,Frederikshavn,2017,11,33,2433.7272727272725,4181.871568829179
302,Frederikssund,2017,5,15,1071.6,1698.7911290090963
303,Furesø,2017,4,29,471.5,442.02601733382164
304,Gentofte,2017,6,27,522.8333333333334,434.9190346106579
305,Gladsaxe,2017,1,3,,
306,Glostrup,2017,4,13,501.25,352.4082622943641
307,Greve,2017,5,23,1641.6,1550.3487672133647
308,Gribskov,2017,5,10,1500.6,906.313577080251
309,Guldborgsund,2017,7,33,2540.1428571428573,4530.072090249463
310,Haderslev,2017,6,26,3410.3333333333335,3931.7354777078613
311,Halsnæs,2017,1,1,,
312,Hedensted,2017,3,42,5688.666666666667,5146.242739449173
313,Helsingør,2017,4,15,660.5,353.731065453215
314,Herlev,2017,3,13,730.0,395.91286920230317
315,Herning,2017,5,22,6198.2,5973.899873616899
316,Hillerød,2017,4,10,481.5,450.41795405304765
317,Hjørring,2017,16,65,2135.25,3455.113379712259
318,Holbæk,2017,7,32,2793.714285714286,3127.0452887822453
319,Holstebro,2017,5,21,604.2,449.7084611167551
320,Horsens,2017,10,28,646.9,705.3167058531618
321,Hvidovre,2017,2,10,855.5,41.71930009000631
322,Høje Taastrup,2017,5,30,874.2,593.3579863792178
323,Hørsholm,2017,3,18,861.0,659.1820689308835
324,Ikast-Brande,2017,1,1,,
325,Ishøj,2017,2,5,1115.0,1282.691701072397
326,Jammerbugt,2017,6,20,2101.5,3608.211565304895
327,Kalundborg,2017,6,22,5608.333333333333,6268.8985848126995
328,Kerteminde,2017,2,2,4548.5,3922.3213152417793
329,Kolding,2017,9,39,2925.777777777778,3374.5242545349183
330,København,2017,128,733,421.0703125,347.98459517885453
331,Køge,2017,6,74,713.0,874.1123497583134
332,Lejre,2017,1,4,,
333,Lemvig,2017,1,2,,
334,Lolland,2017,4,13,5202.0,3657.0953865966726
335,Lyngby-Taarbæk,2017,9,50,539.7777777777778,534.2945764692399
336,Læsø,2017,1,3,,
337,Mariagerfjord,2017,5,9,1544.0,501.08731774013205
338,Middelfart,2017,9,46,849.3333333333334,845.5483427930067
339,Morsø,2017,3,15,4050.0,5323.618412320703
340,Norddjurs,2017,3,8,821.3333333333334,298.97380041290126
341,Nordfyns,2017,1,2,,
342,Nyborg,2017,6,33,393.6666666666667,415.7507265978818
343,Næstved,2017,3,21,555.6666666666666,54.85739087245523
344,Odder,2017,2,6,483.0,0.0
345,Odense,2017,14,59,1211.142857142857,1384.1895077649567
346,Odsherred,2017,1,3,,
347,Randers,2017,10,68,1608.1,2224.681173162173
348,Rebild,2017,5,18,2783.2,3308.5409473059267
349,Ringkøbing-Skjern,2017,6,20,4176.333333333333,4038.72131579621
350,Ringsted,2017,2,5,115.0,39.59797974644666
351,Roskilde,2017,7,31,1534.0,2172.3065314698724
352,Rudersdal,2017,9,30,1361.111111111111,1044.9470613916817
353,Rødovre,2017,1,2,,
354,Samsø,2017,2,4,3517.0,2097.2787129993
355,Silkeborg,2017,12,30,2047.4166666666667,2271.5911307168626
356,Skanderborg,2017,8,43,3606.5,4003.504857354009
357,Skive,2017,3,10,342.6666666666667,178.99813779292046
358,Slagelse,2017,12,58,908.25,1689.2925967021602
359,Sorø,2017,4,16,8344.75,11211.742099989042
360,Stevns,2017,2,4,7259.0,151.32085117392117
361,Svendborg,2017,7,19,1486.2857142857142,2170.6839716462423
362,Syddjurs,2017,7,16,2702.0,2373.6351165810356
363,Sønderborg,2017,13,46,1116.6923076923076,1406.028590547112
364,Thisted,2017,31,51,3090.2903225806454,2859.634897366543
365,Tårnby,2017,8,46,481.25,367.25925058854153
366,Tønder,2017,3,6,1622.3333333333333,1938.4636528274998
367,Varde,2017,6,15,6438.0,3565.083841931351
368,Vejen,2017,4,7,4391.0,5893.493417886089
369,Vejle,2017,19,65,2598.9473684210525,2654.998461470243
370,Vesthimmerlands,2017,5,16,2745.2,3964.7024730741146
371,Viborg,2017,8,30,2464.125,3874.3213391877703
372,Vordingborg,2017,8,20,2550.5,2501.300690212423
373,Aabenraa,2018,10,58,2050.6,4422.586050918374
374,Aalborg,2018,25,87,1665.68,4485.240542787718
375,Aarhus,2018,48,212,1075.3125,1235.0853387045684
376,Albertslund,2018,2,6,284.5,399.51533137039934
377,Allerød,2018,1,4,,
378,Assens,2018,4,17,2629.25,1328.9237186535577
379,Ballerup,2018,7,34,815.5714285714286,955.987597050446
380,Billund,2018,7,28,579.4285714285714,399.859915946763
381,Bornholm,2018,10,26,498.1,356.23632917239394
382,Brøndby,2018,2,6,1347.0,398.8082245892128
383,Brønderslev,2018,6,28,5416.666666666667,3585.784135536698
384,Dragør,2018,3,16,767.6666666666666,217.08600446213322
385,Egedal,2018,1,4,,
386,Esbjerg,2018,14,41,10990.57142857143,30209.739205744903
387,Faaborg-Midtfyn,2018,2,8,4174.5,5585.436464592539
388,Favrskov,2018,1,1,,
389,Faxe,2018,2,4,7756.0,837.2144289248723
390,Fredensborg,2018,2,7,1920.5,839.3357492684319
391,Fredericia,2018,9,34,995.1111111111111,876.242039114257
392,Frederiksberg,2018,25,122,319.12,271.3431591177489
393,Frederikshavn,2018,14,39,2362.6428571428573,3719.268613112464
394,Frederikssund,2018,6,17,1304.1666666666667,1622.7250434582768
395,Furesø,2018,6,37,819.5,892.3933549730185
396,Gentofte,2018,6,27,522.8333333333334,434.9190346106579
397,Gladsaxe,2018,3,7,746.6666666666666,329.42576300789426
398,Glostrup,2018,5,20,567.4,339.1501142562096
399,Greve,2018,5,23,1641.6,1550.3487672133647
400,Gribskov,2018,5,10,1500.6,906.313577080251
