,City,Municipality,Region,year,FB_audience_size_lower_bound,FB_audience_size_upper_bound,Trends_slope,Trends_intercept,Trends_regression_R2,Trends_regression_R2_adj,Trends_mean,Trends_is_trending,DST_EV_population,DST_population_size,DST_population_density,Plugshare_count_of_stations,Plugshare_count_of_plugs,Plugshare_closest_in_meters,Plugshare_closest_in_meters_std
101,Kokkedal,Fredensborg Kommune,Region Hovedstaden,2021,1600.0,1900.0,0.1090926237516279,22.587109190307324,0.1497720851331243,0.13128886959254,25.259878472222223,0.0,285.0,,,5.0,14.0,64762.0,141276.8677508813
102,Risskov,Aarhus Kommune,Region Midtjylland,2021,1400.0,1600.0,0.2682539531770151,18.382483008274228,0.6121690112872027,0.6037379028369245,24.95470486111111,1.0,1472.0,,,100.0,378.0,1157.33,1291.039140273126
103,Holbæk,Holbæk Kommune,Region Sjælland,2021,9300.0,11000.0,0.2129618975249669,16.7521210106383,0.4312373237223365,0.4188729177163003,21.969687500000003,1.0,306.0,29226.0,2098.7,14.0,54.0,2244.8571428571427,2311.0152566531265
104,Ansager,Varde Kommune,Region Syddanmark,2021,1000.0,1000.0,0.3402970762773193,11.612374408983442,0.6457065707165907,0.6380045396452121,19.94965277777777,1.0,135.0,1267.0,1069.2,22.0,43.0,6923.727272727273,16946.05340817012
105,Frederiksværk,Halsnæs Kommune,Region Hovedstaden,2021,1800.0,2200.0,0.3826581723114776,7.6068365839243475,0.9109851051634592,0.9090499987539692,16.981961805555553,1.0,141.0,12680.0,1537.5,4.0,10.0,4720.25,7387.54421870579
106,Helsinge,Gribskov Kommune,Region Hovedstaden,2021,1800.0,2100.0,0.4276096848313788,18.73205230496453,0.827509175521675,0.8237593749895376,29.20848958333333,1.0,242.0,8343.0,1564.1,8.0,14.0,2300.75,1328.084738045194
107,Thisted,Thisted Kommune,Region Nordjylland,2021,5700.0,6800.0,0.3439088507743519,13.198608156028367,0.6817053482248758,0.6747858992732427,21.624375,1.0,97.0,13484.0,1615.8,44.0,76.0,2716.818181818182,2537.8753453428208
108,Helsingør,Helsingør Kommune,Region Hovedstaden,2021,4700.0,5600.0,0.2439899497032852,13.273895537825052,0.6733080282810495,0.6662060288958549,19.25164930555556,1.0,339.0,47389.0,2647.6,12.0,43.0,1610.5833333333333,2388.6730610161453
109,Birkerød,Rudersdal Kommune,Region Hovedstaden,2021,2000.0,2400.0,0.4252378238529449,18.995666371158386,0.6056333284039335,0.5970601398909754,29.413993055555554,1.0,805.0,20864.0,2299.1,19.0,90.0,928.2631578947368,858.7750217674568
110,Dragør,Dragør Kommune,Region Hovedstaden,2021,2600.0,3000.0,0.248836390939354,24.046008421985807,0.479460192328157,0.4681441095526821,30.1425,1.0,112.0,12349.0,2616.3,4.0,17.0,718.25,202.94231528523895
111,Farum,Furesø Kommune,Region Hovedstaden,2021,2300.0,2700.0,0.2461053969460119,18.864775413711588,0.4214540031221866,0.4088769162335384,24.89435763888889,1.0,303.0,20199.0,2629.1,11.0,52.0,1205.090909090909,1310.7798026019057
112,Fredensborg,Fredensborg Kommune,Region Hovedstaden,2021,1800.0,2100.0,0.077919651903314,31.93419769503545,0.0331871367023697,0.0121694657611167,33.84322916666667,0.0,285.0,8792.0,1837.4,5.0,14.0,64762.0,141276.8677508813
113,Frederikssund,Frederikssund Kommune,Region Hovedstaden,2021,6000.0,7100.0,0.0718307642205815,26.85740322104018,0.0778925376581628,0.0578467232594271,28.61725694444445,0.0,280.0,16614.0,2034.8,12.0,31.0,2861.833333333333,4679.474753612521
114,Galten,Skanderborg Kommune,Region Midtjylland,2021,1000.0,1000.0,0.2849391644955851,21.103382830969267,0.3130655190945314,0.2981321608139776,28.08439236111111,0.0,387.0,8997.0,1530.9,18.0,65.0,2919.722222222222,3932.6480198096074
115,Galten,Skanderborg Kommune,Region Midtjylland,2021,1000.0,1000.0,0.2849391644955851,21.103382830969267,0.3130655190945314,0.2981321608139776,28.08439236111111,0.0,387.0,8997.0,1530.9,18.0,65.0,2919.722222222222,3932.6480198096074
116,Sønder Galten,Skanderborg Kommune,Region Midtjylland,2021,1100.0,1300.0,,,,,,,387.0,,,18.0,65.0,2919.722222222222,3932.6480198096074
117,Gesten,Vejen Kommune,Region Syddanmark,2021,1000.0,1000.0,0.237087539803155,15.202067080378246,0.3458009241380523,0.3315792050975751,21.010711805555555,0.0,118.0,917.0,1065.0,7.0,25.0,4168.857142857143,5690.9378673048095
118,Gudhjem,Bornholm Kommune,Region Hovedstaden,2021,1000.0,1000.0,,,,,,0.0,122.0,762.0,918.1,30.0,81.0,1696.9333333333334,2854.3091190560344
119,Hadsten,Favrskov Kommune,Region Midtjylland,2021,1500.0,1700.0,0.5364412812997537,13.282900413711578,0.7570520651755865,0.7517705883315775,26.425711805555554,1.0,243.0,8257.0,1518.1,8.0,9.0,5069.625,3537.195537125018
120,Haslev,Faxe Kommune,Region Sjælland,2021,1900.0,2300.0,0.2441173650311183,18.312596778959808,0.4411790100970519,0.4290307277078573,24.29347222222222,1.0,144.0,12040.0,1786.9,6.0,17.0,5659.166666666667,3001.9540580539647
121,Kalundborg,Kalundborg Kommune,Region Sjælland,2021,6200.0,7200.0,,,,,,,150.0,16268.0,959.6,10.0,35.0,4995.0,5761.07839056389
122,Karup,Viborg Kommune,Region Midtjylland,2021,1000.0,1000.0,0.3470566018960772,16.213693114657204,0.5689396535586406,0.5595687764620894,24.716579861111114,1.0,314.0,2193.0,1110.9,33.0,92.0,2272.4242424242425,4487.754686577013
