"","Region/city","year","sales"
"124","Hillerød","2021",341
"125","Hørsholm","2018",74
"126","Hørsholm","2019",78
"127","Hørsholm","2020",116
"128","Hørsholm","2021",250
"129","Rudersdal","2018",243
"130","Rudersdal","2019",268
"131","Rudersdal","2020",397
"132","Rudersdal","2021",805
"133","Landsdel Bornholm","2018",21
"134","Landsdel Bornholm","2019",30
"135","Landsdel Bornholm","2020",53
"136","Landsdel Bornholm","2021",122
"137","Bornholm","2018",21
"138","Bornholm","2019",30
"139","Bornholm","2020",53
"140","Bornholm","2021",122
"141","Christiansø","2018",0
"142","Christiansø","2019",0
"143","Christiansø","2020",0
"144","Christiansø","2021",0
"145","Region Sjælland","2018",738
"146","Region Sjælland","2019",949
"147","Region Sjælland","2020",1616
"148","Region Sjælland","2021",3671
"149","Landsdel Østsjælland","2018",363
"150","Landsdel Østsjælland","2019",460
"151","Landsdel Østsjælland","2020",757
"152","Landsdel Østsjælland","2021",1631
"153","Greve","2018",83
"154","Greve","2019",96
"155","Greve","2020",154
"156","Greve","2021",332
"157","Køge","2018",66
"158","Køge","2019",85
"159","Køge","2020",152
"160","Køge","2021",337
"161","Lejre","2018",52
"162","Lejre","2019",67
"163","Lejre","2020",108
"164","Lejre","2021",214
"165","Roskilde","2018",125
"166","Roskilde","2019",163
"167","Roskilde","2020",265
"168","Roskilde","2021",569
"169","Solrød","2018",37
"170","Solrød","2019",49
"171","Solrød","2020",78
"172","Solrød","2021",179
"173","Landsdel Vest- og Sydsjælland","2018",375
"174","Landsdel Vest- og Sydsjælland","2019",489
"175","Landsdel Vest- og Sydsjælland","2020",859
"176","Landsdel Vest- og Sydsjælland","2021",2040
"177","Faxe","2018",29
"178","Faxe","2019",36
"179","Faxe","2020",64
"180","Faxe","2021",144
"181","Guldborgsund","2018",32
"182","Guldborgsund","2019",37
"183","Guldborgsund","2020",57
"184","Guldborgsund","2021",142
"185","Holbæk","2018",49
"186","Holbæk","2019",78
"187","Holbæk","2020",123
"188","Holbæk","2021",306
"189","Kalundborg","2018",36
"190","Kalundborg","2019",41
"191","Kalundborg","2020",71
"192","Kalundborg","2021",150
"193","Lolland","2018",16
"194","Lolland","2019",19
"195","Lolland","2020",36
"196","Lolland","2021",76
"197","Næstved","2018",46
"198","Næstved","2019",66
"199","Næstved","2020",122
"200","Næstved","2021",318
"201","Odsherred","2018",16
"202","Odsherred","2019",23
"203","Odsherred","2020",51
"204","Odsherred","2021",116
"205","Ringsted","2018",22
"206","Ringsted","2019",31
"207","Ringsted","2020",68
"208","Ringsted","2021",158
"209","Slagelse","2018",48
"210","Slagelse","2019",49
"211","Slagelse","2020",79
"212","Slagelse","2021",232
"213","Sorø","2018",14
"214","Sorø","2019",20
"215","Sorø","2020",46
"216","Sorø","2021",104
"217","Stevns","2018",29
"218","Stevns","2019",36
"219","Stevns","2020",69
"220","Stevns","2021",140
"221","Vordingborg","2018",38
"222","Vordingborg","2019",53
"223","Vordingborg","2020",73
"224","Vordingborg","2021",154
"225","Region Syddanmark","2018",813
"226","Region Syddanmark","2019",1034
"227","Region Syddanmark","2020",1768
"228","Region Syddanmark","2021",3852
"229","Landsdel Fyn","2018",354
"230","Landsdel Fyn","2019",457
"231","Landsdel Fyn","2020",769
"232","Landsdel Fyn","2021",1578
"233","Assens","2018",29
"234","Assens","2019",36
"235","Assens","2020",56
"236","Assens","2021",110
"237","Faaborg-Midtfyn","2018",35
"238","Faaborg-Midtfyn","2019",56
"239","Faaborg-Midtfyn","2020",84
"240","Faaborg-Midtfyn","2021",167
"241","Kerteminde","2018",11
"242","Kerteminde","2019",16
"243","Kerteminde","2020",33
"244","Kerteminde","2021",64
"245","Langeland","2018",8
"246","Langeland","2019",9
"247","Langeland","2020",13
"248","Langeland","2021",28
"249","Middelfart","2018",38
"250","Middelfart","2019",49
"251","Middelfart","2020",82
